"photographer","nationality","birth_place","bp_lon","bp_lat","death_place","dp_lon","dp_lat"
"Walery (Stanislaw Julian Ignacy, Count Ostrorog)","English","Poland","19.1451360","51.919438",NA,NA,NA
"Walker Evans","American","St. Louis, Missouri","-90.1994042","38.627003","New Haven, Connecticut","-72.9278835","41.308274"
"Walter Rosenblum","American","New York","-74.0059728","40.712775",NA,NA,NA
"William Eggleston","American","Memphis, TN","-90.0489801","35.149534",NA,NA,NA
"William H. Whitehead","American",NA,NA,NA,NA,NA,NA
"William Heick","American","San Francisco, California, USA","-122.4194155","37.774929",NA,NA,NA
"William Henry Jackson","American","Keeseville (Clinton county, New York state, United States)","-73.4801348","44.505048","New York City (New York state, United States)","-74.0059728","40.712775"
"William Larson","American","North Tonawanda, NY","-78.8642033","43.038668",NA,NA,NA
"Yousuf Karsh","Canadian","Mardin (Mardin province, South-East Anatolian Region, Turkey)","40.7339510","37.312903","Boston, MA","-71.0588801","42.360082"
"H.G. Wells",NA,NA,NA,NA,NA,NA,NA
"Robert Adamson","Scottish","Scotland (United Kingdom)","-4.202646","56.49067","Saint Andrews (Fife, Scotland, United Kingdom)","-2.796721","56.33978"
"Willard Van Dyck","American",NA,NA,NA,NA,NA,NA
"J. N. Glogger","American",NA,NA,NA,NA,NA,NA
"Sanford M. Robinson","American",NA,NA,NA,NA,NA,NA
"John Earle","American",NA,NA,NA,NA,NA,NA
"John Collier","American",NA,NA,NA,"San Jose, Costa Rica","-84.0907246","9.928069"
"Sol Libsohn","American",NA,NA,NA,"Princeton, NJ","-74.6672226","40.357298"
